PersonLopNr,income,profession,gender,education,city,uni_id,ethnicity,parental_income_percentile7,age,year,cohort
1000000,2465.36,3318,m,337,Umeå,24,NW,28,26,2023,1997
1000000,2580.61,3318,m,337,Umeå,24,NW,28,27,2024,1997
1000000,2701.24,3318,m,337,Umeå,24,NW,28,28,2025,1997
1000001,5016.05,3323,m,729,Malmo,8,SE,11,52,2018,1966
1000002,8426.78,3327,m,729,Malmo,26,A,75,20,1990,1970
1000002,8628.1,3327,m,729,Malmo,26,A,75,21,1991,1970
1000002,8834.24,3327,m,729,Malmo,26,A,75,22,1992,1970
1000002,9045.29,3327,m,729,Malmo,26,A,75,23,1993,1970
1000003,5980.89,3315,m,441,Malmö,13,W,13,26,2002,1976
1000003,6188.66,3315,m,441,Malmö,13,W,13,27,2003,1976
1000003,6403.65,3315,m,441,Malmö,13,W,13,28,2004,1976
1000004,4536.73,3345,m,536,Orebro,10,A,10,60,2019,1959
1000004,4689.38,3345,m,536,Orebro,10,A,10,61,2020,1959
1000004,4847.16,3345,m,536,Orebro,10,A,10,62,2021,1959
1000005,8632.26,3324,m,337,Norrkoping,28,W,10,26,2004,1978
1000005,8878.59,3324,m,337,Norrkoping,28,W,10,27,2005,1978
1000005,9131.94,3324,m,337,Norrkoping,28,W,10,28,2006,1978
1000006,2823.79,3327,f,441,Malmo,23,NW,85,63,2021,1958
1000007,6779.43,3334,m,729,Umeå,9,NW,59,60,2024,1964
1000008,5446.02,3335,f,337,Gothenburg,9,SE,40,24,1993,1969
1000008,5697.0,3335,f,337,Gothenburg,9,SE,40,25,1994,1969
1000008,5959.54,3335,f,337,Gothenburg,9,SE,40,26,1995,1969
1000008,6234.19,3335,f,337,Gothenburg,9,SE,40,27,1996,1969
1000008,6521.49,3335,f,337,Gothenburg,9,SE,40,28,1997,1969
1000009,7391.76,3339,f,441,Norrkoping,5,A,82,36,1988,1952
1000009,7691.89,3339,f,441,Norrkoping,5,A,82,37,1989,1952
1000010,8661.41,3333,f,729,Uppsala,8,AS,51,28,2012,1984
1000010,8780.33,3333,f,729,Uppsala,8,AS,51,29,2013,1984
1000010,8900.88,3333,f,729,Uppsala,8,AS,51,30,2014,1984
1000010,9023.09,3333,f,729,Uppsala,8,AS,51,31,2015,1984
1000011,3975.33,3337,m,337,Stockholm,20,NW,87,24,2004,1980
